study,coherence_gain,marginals_kept,magnitude_independent,magnitude_null_p95,magnitude_raw,magnitude_corrected,structure_independent,structure_null_p95,structure_raw,structure_corrected,human_split_half_structure,distance_independent,distance_raw,distance_corrected,floor_p95,raw_drift_advantage_given_back,kernel_advantage_over_uniform,coherence_kept_by_correction,local_corrected,local_real,distant_vs_real_corrected,real_mean_abs
m52pd,True,True,0.1753003988968505,0.1916213276117473,0.29234882392850114,0.2885969243839615,0.017561253861657983,0.11578085008753446,0.5472296452953876,0.5181872479689955,0.9232003273904537,0.13016224127353113,0.1644086285164796,0.13280447314461707,0.13986732918847525,0.9068299454566686,0.036243066852764266,0.9871663600553522,1.6808565547300345,1.312052526896253,0.2737747778444743,0.36608675529105333
3xy9j,True,True,0.5484666884615972,0.5825308210406464,0.6598871584141185,0.6452114596532943,0.004739054977355801,0.09551806049340295,0.27997916448278876,0.2632712542125897,0.5746181669848558,0.19077633104064215,0.19154864425523854,0.1837722446650664,0.19172191300766006,-0.025893278310618734,0.013709009904913805,0.9777602904167831,1.2889302876987692,0.9531851903854804,0.610765763104126,0.12166917294223703
gx6hp,True,True,0.4560565067442058,0.5588243713005845,0.8172663506764759,0.7862957770219056,0.0006854283289791157,0.17926308003018504,0.5041840324865866,0.5140227033603477,0.6981118812117628,0.15468624263713698,0.17160984856667746,0.1559508055926471,0.16552715795972547,0.3474131121269748,0.047684149957231525,0.9621046753865065,2.2388681077704904,2.2765967958354363,0.7906979863578972,0.18845837420147088
ef6my,True,True,0.30532292069381445,0.3015943345211268,0.35611957014884865,0.34461322572367553,0.08934187554441789,0.138167392989606,0.4023760271105298,0.4095824694963715,0.8504461699011279,0.09601708676944845,0.1077239376675295,0.08497529761467769,0.09507267098428134,0.3969674603270697,0.03608992739704578,0.9676896599073065,1.3900634075476843,1.0917446331930152,0.32554024135389265,0.23011892785373028
5mt6r,True,True,0.33775047542698555,0.3722224897527265,0.5768664747644672,0.5234617943076768,0.13203768688488338,0.28403911758953787,0.7269886921068359,0.7112117981647296,0.7791696152079055,0.1943865580648364,0.19867097400872058,0.1930676937482972,0.20520618461016418,0.06515467887060927,0.06099828945682728,0.9074228044217766,1.673881701479958,1.2093055648707396,0.47143055483814,0.2023726125546819
ac9jm,True,True,0.12182559296413688,0.12726311045580266,0.29351268891908344,0.2809726250822993,-0.06726617821376514,0.25144870968805316,0.7238179539750943,0.7181241151703228,0.9838107381149522,0.09828838472940318,0.10307715914573158,0.09813998253443211,0.10679138252983278,0.1884590262108629,0.03397576202957324,0.9572759055734003,1.5355008457238604,1.1596398941450923,0.25768817606040456,0.6326037157436664
